City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Aswan,EG,24.0934,32.907,94.3,10,0,12.66,clear sky
80,Puerto Escondido,MX,15.85,-97.0667,88.63,58,40,4.61,scattered clouds
81,Barrow,US,71.2906,-156.7887,21.22,93,20,8.05,few clouds
82,Grindavik,IS,63.8424,-22.4338,45.07,100,90,9.22,light intensity drizzle
83,Zonguldak,TR,41.25,31.8333,48.22,94,100,2.95,light rain
84,Port Blair,IN,11.6667,92.75,80.04,81,100,10.33,overcast clouds
85,Sobolevo,RU,54.4299,31.8996,40.89,96,100,6.4,overcast clouds
86,Varhaug,NO,58.6147,5.6457,53.15,80,64,30.78,broken clouds
87,Yuzhnyy,RU,53.2542,83.6936,39.58,93,75,2.24,mist
88,Kirakira,SB,-10.4544,161.9205,77.4,86,58,7.11,broken clouds
89,Butaritari,KI,3.0707,172.7902,81.88,77,49,16.02,light rain
90,Nacala,MZ,-14.5428,40.6728,74.28,76,6,11.77,clear sky
91,Gat,IL,31.61,34.7642,77.68,62,0,9.1,clear sky
92,Lagoa,PT,39.05,-27.9833,68.79,64,42,8.72,scattered clouds
93,Ostrovnoy,RU,68.0531,39.5131,45.27,85,33,20.94,scattered clouds
94,Geraldton,AU,-28.7667,114.6,54.01,94,0,8.05,clear sky
95,Darnah,LY,32.767,22.6367,74.95,66,10,18.41,clear sky
96,Fukue,JP,32.6881,128.8419,75.25,62,48,10.51,scattered clouds
97,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,12.66,light rain
98,Buta,CD,2.7858,24.73,71.96,90,56,4.18,broken clouds
99,Belyy Yar,RU,53.6039,91.3903,39.09,87,40,8.95,light intensity shower rain
100,Nikolskoye,RU,59.7035,30.7861,46.29,88,94,9.06,overcast clouds
101,Pisco,PE,-13.7,-76.2167,68.02,77,20,10.36,few clouds
102,Okhotsk,RU,59.3833,143.3,46.53,72,4,2.55,clear sky
103,Chokurdakh,RU,70.6333,147.9167,27.84,90,100,5.48,overcast clouds
104,Khatanga,RU,71.9667,102.5,33.31,98,100,6.29,overcast clouds
105,Parambu,BR,-6.2111,-40.6944,97.38,21,35,8.34,scattered clouds
106,Lata,PT,40.1629,-8.3327,68.41,73,100,1.45,overcast clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,93,90,12.66,mist
108,Hasaki,JP,35.7333,140.8333,70.2,74,93,13.87,overcast clouds
109,Cape Town,ZA,-33.9258,18.4232,62.89,82,40,1.01,scattered clouds
110,Elat,IL,29.5581,34.9482,87.64,35,0,13.8,clear sky
111,Saskylakh,RU,71.9167,114.0833,33.75,98,100,12.15,overcast clouds
112,Samarai,PG,-10.6167,150.6667,77.45,84,97,13.69,overcast clouds
113,Norman Wells,CA,65.282,-126.8329,33.84,93,75,0.0,broken clouds
114,Acara,BR,-1.9608,-48.1967,95.9,38,77,4.38,broken clouds
115,Zharkent,KZ,44.1628,80.0,59.85,25,85,3.91,overcast clouds
116,Kazachinskoye,RU,57.6953,93.2761,34.63,93,99,2.62,overcast clouds
117,Bathsheba,BB,13.2167,-59.5167,90.21,62,20,12.66,few clouds
118,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,39,13.09,scattered clouds
119,Eyl,SO,7.9803,49.8164,78.22,82,41,21.39,scattered clouds
120,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,18.41,clear sky
121,Hambantota,LK,6.1241,81.1185,80.94,89,20,10.36,few clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,88,10.07,overcast clouds
123,College,US,64.8569,-147.8028,34.23,65,90,5.75,overcast clouds
124,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,61,33,8.72,scattered clouds
125,Kaoma,ZM,-14.7833,24.8,73.13,24,74,6.64,broken clouds
126,Meulaboh,ID,4.1363,96.1285,78.06,86,83,2.53,broken clouds
127,Beringovskiy,RU,63.05,179.3167,36.72,98,100,7.7,light rain
128,Mucurapo,TT,10.6667,-61.5333,92.01,60,26,5.03,scattered clouds
129,Bumba,CD,2.1833,22.4667,68.85,97,100,0.78,overcast clouds
130,North Charleston,US,32.8886,-80.0075,82.92,60,1,8.05,clear sky
131,Balaghat,IN,21.8,80.1833,75.74,93,98,2.89,overcast clouds
132,Salalah,OM,17.0151,54.0924,82.49,89,75,8.05,broken clouds
133,Waitati,NZ,-45.75,170.5667,48.79,71,34,15.5,scattered clouds
134,Baykit,RU,61.67,96.37,33.31,98,100,4.99,light snow
135,Punto Fijo,VE,11.6956,-70.1996,89.71,59,100,9.01,overcast clouds
136,Ambilobe,MG,-13.2,49.05,72.05,72,2,4.7,clear sky
137,Nizhneudinsk,RU,54.9076,99.0276,38.61,96,100,1.3,light rain
138,Airai,TL,-8.9266,125.4092,57.72,63,95,1.83,overcast clouds
139,Tiksi,RU,71.6872,128.8694,38.14,83,100,22.62,light rain
140,Sinnamary,GF,5.3833,-52.95,86.59,61,49,12.53,scattered clouds
141,Lavrentiya,RU,65.5833,-171.0,30.85,71,80,1.12,broken clouds
142,Mount Isa,AU,-20.7333,139.5,46.17,36,13,0.0,few clouds
143,Pangnirtung,CA,66.1451,-65.7125,32.0,69,75,16.11,broken clouds
144,Gananoque,CA,44.3334,-76.1661,72.99,92,96,14.34,moderate rain
145,Nanortalik,GL,60.1432,-45.2371,37.51,75,11,22.28,few clouds
146,Ayr,GB,55.4627,-4.6339,58.98,94,90,13.8,overcast clouds
147,Leningradskiy,RU,69.3833,178.4167,25.09,94,100,6.62,overcast clouds
148,Naze,JP,28.3667,129.4833,76.19,66,0,9.15,clear sky
149,Challapata,BO,-18.9,-66.7667,59.41,28,99,13.35,overcast clouds
150,Majene,ID,-3.5403,118.9707,75.81,88,97,5.79,overcast clouds
151,Hithadhoo,MV,-0.6,73.0833,82.2,78,85,21.12,moderate rain
152,Kununurra,AU,-15.7667,128.7333,51.78,76,4,1.14,clear sky
153,Hamilton,US,39.1834,-84.5333,67.05,70,75,3.0,broken clouds
154,Nyahururu,KE,0.0421,36.3673,57.96,69,91,6.89,overcast clouds
155,Ivanivka,UA,46.7208,34.553,51.57,66,91,7.09,overcast clouds
156,Arlit,NE,18.7369,7.3853,97.95,16,39,4.23,scattered clouds
157,Amapa,BR,1.0,-52.0,95.09,35,66,5.28,broken clouds
158,Zyryanskoye,RU,56.8306,86.6258,31.28,94,62,3.58,broken clouds
159,Marfino,RU,55.7028,37.3822,50.14,100,0,2.24,clear sky
160,Tonstad,NO,58.6626,6.7169,53.35,87,68,28.27,broken clouds
161,Rawson,AR,-43.3002,-65.1023,69.42,31,1,6.85,clear sky
162,Tura,IN,25.5198,90.2201,73.78,94,15,2.35,few clouds
163,Areka,ET,7.0667,37.7,60.91,90,59,4.97,moderate rain
164,Sacramento,US,38.4666,-121.3177,94.51,33,1,1.01,clear sky
165,Ponta Do Sol,PT,32.6667,-17.1,74.12,44,98,4.81,overcast clouds
166,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,95.61,27,69,18.75,broken clouds
167,Nyurba,RU,63.2842,118.3319,39.11,77,100,4.32,overcast clouds
168,Victoria,HK,22.2855,114.1577,85.32,83,83,1.01,broken clouds
169,Tevaitoa,PF,-16.7833,-151.5,77.79,70,18,11.01,few clouds
170,Kavaratti,IN,10.5669,72.642,81.84,78,84,15.08,broken clouds
171,Zemio,CF,5.0314,25.1361,66.99,98,92,3.67,moderate rain
172,Sitka,US,57.0531,-135.33,55.29,67,90,20.71,light rain
173,Kushiro,JP,42.975,144.3747,55.56,92,100,13.8,light rain
174,Waddan,LY,29.1614,16.139,92.28,14,4,13.44,clear sky
175,Ancud,CL,-41.8697,-73.8203,56.43,73,95,14.0,overcast clouds
176,Goias,BR,-15.5807,-49.6362,103.12,14,21,3.83,few clouds
177,Lyubinskiy,RU,55.1542,72.6925,40.68,74,97,4.54,overcast clouds
178,Camocim,BR,-2.9022,-40.8411,86.81,61,85,21.03,overcast clouds
179,Hailey,US,43.5196,-114.3153,66.9,44,75,11.5,broken clouds
180,San Joaquin,US,37.9333,-121.3011,87.51,24,84,7.29,broken clouds
181,Brighton,GB,50.8284,-0.1395,65.55,89,20,12.66,few clouds
182,Yermish,RU,54.7678,42.2711,49.82,94,100,7.2,moderate rain
183,Husavik,IS,66.0449,-17.3389,39.11,78,100,17.29,overcast clouds
184,Mokhsogollokh,RU,61.4681,128.9203,41.05,96,100,4.07,overcast clouds
185,Kampot,KH,10.6167,104.1833,78.67,87,100,5.91,heavy intensity rain
186,Aripuana,BR,-9.1667,-60.6333,103.62,20,52,1.95,broken clouds
187,Labuhan,ID,-6.8844,112.2051,81.36,74,100,7.63,overcast clouds
188,Prescott,US,34.54,-112.4685,81.68,18,1,1.01,clear sky
189,Atbasar,KZ,51.8,68.3333,37.65,71,19,7.4,few clouds
190,Dunedin,NZ,-45.8742,170.5036,48.79,71,45,18.01,scattered clouds
191,Severo-Kurilsk,RU,50.6789,156.125,48.16,93,100,24.38,light rain
192,Portland,US,45.5234,-122.6762,67.62,79,90,1.01,overcast clouds
193,Nedjo,ET,9.5046,35.5019,59.38,96,94,1.79,light rain
194,Noumea,NC,-22.2763,166.4572,57.18,66,9,8.88,clear sky
195,Kahului,US,20.8947,-156.47,79.86,82,20,18.41,few clouds
196,Meadow Lake,US,34.8014,-106.5436,81.61,21,100,5.88,overcast clouds
197,Fortuna,US,40.5982,-124.1573,72.93,64,20,3.0,few clouds
198,Bonoua,CI,5.2741,-3.595,80.22,85,79,5.73,broken clouds
199,Klyuchi,RU,52.2667,79.1667,37.38,78,92,6.62,overcast clouds
200,Babu,CN,24.4167,111.5167,76.78,90,34,2.53,scattered clouds
201,San Patricio,US,28.017,-97.5169,86.41,24,2,6.17,clear sky
202,Iqaluit,CA,63.7506,-68.5145,31.73,80,40,20.71,scattered clouds
203,Jiuquan,CN,39.7432,98.5174,62.89,32,70,3.89,broken clouds
204,Thompson,CA,55.7435,-97.8558,55.56,88,90,8.05,overcast clouds
205,Solnechnyy,RU,50.7214,136.6319,41.14,76,9,4.14,clear sky
206,Keti Bandar,PK,24.1447,67.4497,81.86,82,78,12.62,broken clouds
207,Sao Filipe,CV,14.8961,-24.4956,79.88,76,39,5.57,scattered clouds
208,Namwala,ZM,-15.7504,26.4384,77.94,29,44,6.13,scattered clouds
209,Carauari,BR,-4.8828,-66.8958,93.7,45,97,1.01,overcast clouds
210,Yenagoa,NG,4.9247,6.2642,75.87,91,98,3.58,overcast clouds
211,Santa Rita,BR,-7.1139,-34.9781,84.87,61,40,13.8,scattered clouds
212,Kandrian,PG,-6.2167,149.55,75.83,92,99,8.16,light rain
213,Alice Springs,AU,-23.7,133.8833,47.75,37,4,5.75,clear sky
214,Seropedica,BR,-22.7439,-43.7075,73.22,45,27,10.22,scattered clouds
215,Bucerias,MX,20.75,-105.3333,88.99,66,1,4.61,clear sky
216,Sterling,US,39.0062,-77.4286,75.34,67,75,8.05,broken clouds
217,Antofagasta,CL,-23.65,-70.4,68.22,62,23,10.29,few clouds
218,Kieta,PG,-6.2167,155.6333,76.95,83,100,3.51,overcast clouds
219,Tankhoy,RU,51.5528,105.1306,46.83,73,63,7.07,broken clouds
220,Lebu,CL,-37.6167,-73.65,57.18,65,28,12.17,scattered clouds
221,Richards Bay,ZA,-28.783,32.0377,66.94,67,52,17.09,broken clouds
222,Dingle,PH,10.9995,122.6711,75.97,92,88,5.03,moderate rain
223,Chernyshevskiy,RU,63.0128,112.4714,35.98,94,100,2.51,overcast clouds
224,Bergen,NO,60.392,5.328,53.65,79,75,13.8,broken clouds
225,Eydhafushi,MV,5.1033,73.0708,83.46,74,100,17.58,overcast clouds
226,Kambove,CD,-10.8764,26.5969,70.97,30,42,5.1,scattered clouds
227,Gornopravdinsk,RU,60.05,69.9,35.55,91,83,3.98,broken clouds
228,Sar-E Pul,AF,35.8333,66.1667,58.57,30,0,2.33,clear sky
229,Ilulissat,GL,69.2167,-51.1,24.82,68,75,19.57,light shower snow
230,Bethel,US,41.3712,-73.414,80.2,79,75,1.01,broken clouds
231,Cabo San Lucas,MX,22.8909,-109.9124,93.51,69,1,3.0,clear sky
232,Santarem,BR,-2.4431,-54.7083,91.53,55,20,11.5,few clouds
233,Ola,RU,59.5833,151.2833,43.11,83,1,1.61,clear sky
234,Hay River,CA,60.8156,-115.7999,42.78,87,90,14.97,light intensity drizzle
235,Rock Sound,BS,24.9,-76.2,83.62,70,71,5.97,broken clouds
236,Mount Gambier,AU,-37.8333,140.7667,49.91,93,40,12.66,light rain
237,Flinders,AU,-34.5833,150.8552,63.18,59,0,3.0,clear sky
238,Morros,BR,-9.4467,-46.3003,102.92,13,9,7.43,clear sky
239,Skala Fourkas,GR,39.9998,23.3841,67.95,45,1,5.7,clear sky
240,Champerico,GT,14.3,-91.9167,88.34,70,84,5.46,broken clouds
241,Saint George,US,37.1041,-113.5841,88.27,18,1,0.0,clear sky
242,Vanavara,RU,60.34,102.2797,26.4,93,75,3.33,broken clouds
243,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,73,20,7.85,few clouds
244,Kenai,US,60.5544,-151.2583,42.1,71,90,23.02,light rain
245,Alofi,NU,-19.0595,-169.9187,67.89,94,54,5.75,broken clouds
246,Qaqortoq,GL,60.7167,-46.0333,43.3,46,5,25.03,clear sky
247,Port Hardy,CA,50.6996,-127.4199,51.98,87,75,3.44,broken clouds
248,Ribeira Grande,PT,38.5167,-28.7,73.8,64,20,12.66,few clouds
249,Lasa,IT,46.6166,10.7002,58.08,69,37,3.38,scattered clouds
250,Progreso,MX,21.2833,-89.6667,91.11,67,100,9.31,overcast clouds
251,Turukhansk,RU,65.8167,87.9833,31.48,92,97,7.96,overcast clouds
252,Akdepe,TM,42.0551,59.3788,69.89,18,21,16.6,few clouds
253,Wilmington,US,34.2257,-77.9447,81.86,73,75,11.5,broken clouds
254,Houma,US,29.5958,-90.7195,78.01,47,1,9.22,clear sky
255,Ahipara,NZ,-35.1667,173.1667,56.5,88,99,16.02,overcast clouds
256,Shache,CN,38.4167,77.2406,71.47,19,0,4.52,clear sky
257,Codrington,AU,-38.2667,141.9667,52.92,84,27,15.75,scattered clouds
258,Mayumba,GA,-3.432,10.6554,76.66,83,77,5.5,broken clouds
259,Harer,ET,9.3094,42.1258,61.38,89,72,4.65,light rain
260,Abonnema,NG,4.7084,6.7931,76.89,87,96,3.2,overcast clouds
261,Belmonte,BR,-15.8631,-38.8828,75.2,64,100,13.91,overcast clouds
262,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,28,75,16.11,broken clouds
263,Lianzhou,CN,24.7811,112.3825,75.25,93,12,1.74,light rain
264,Umm Lajj,SA,25.0213,37.2685,86.49,53,1,9.26,clear sky
265,Ugoofaaru,MV,5.6667,73.0,83.21,76,84,18.07,broken clouds
266,Kefalos,GR,36.7453,26.9589,66.42,55,20,24.16,few clouds
267,Ust-Ilimsk,RU,58.0006,102.6619,37.26,97,100,1.32,overcast clouds
268,Burley,US,42.5357,-113.7928,64.31,48,1,9.22,clear sky
269,Aranos,NA,-24.1333,19.1167,76.24,9,0,8.81,clear sky
270,Vardo,NO,70.3705,31.1107,46.38,66,0,21.85,clear sky
271,Areia Branca,BR,-4.9561,-37.1369,89.8,61,10,18.16,clear sky
272,Nome,US,64.5011,-165.4064,24.87,74,1,6.91,clear sky
273,Lebyazhye,RU,55.2689,66.4947,42.13,65,97,3.89,overcast clouds
274,Haputale,LK,6.7681,80.9595,64.99,71,78,4.16,broken clouds
275,Bubaque,GW,11.2833,-15.8333,82.42,71,92,3.69,overcast clouds
276,San Ramon,US,37.7799,-121.978,90.23,35,1,1.01,haze
277,Nieuw Nickerie,SR,5.95,-56.9833,84.15,70,67,10.4,broken clouds
278,Ballina,AU,-28.8667,153.5667,56.79,93,1,1.14,clear sky
279,Kidal,ML,18.4411,1.4078,96.87,21,67,7.29,broken clouds
280,Cabedelo,BR,-6.9811,-34.8339,84.87,62,46,13.71,scattered clouds
281,Lisala,CD,2.15,21.5167,67.75,99,100,2.35,overcast clouds
282,Dukat,RU,62.55,155.55,31.75,87,20,2.86,few clouds
283,Kaitangata,NZ,-46.2817,169.8464,43.9,75,44,15.21,scattered clouds
284,The Valley,AI,18.217,-63.0578,89.46,74,20,6.91,few clouds
285,Umarkot,PK,25.3616,69.7362,85.6,68,91,11.99,overcast clouds
286,Bandarbeyla,SO,9.4942,50.8122,78.12,85,75,29.68,broken clouds
287,Antalya,TR,36.7741,30.7178,72.19,35,0,17.27,light rain
288,Sechura,PE,-5.5569,-80.8222,77.25,58,40,11.63,scattered clouds
289,Tambura,SS,5.6,27.4667,66.65,96,100,3.38,light rain
290,Manokwari,ID,-0.8667,134.0833,77.29,83,100,5.08,overcast clouds
291,Ribeira Brava,PT,32.65,-17.0667,74.12,44,97,4.81,overcast clouds
292,Longyearbyen,SJ,78.2186,15.6401,44.44,65,40,18.41,scattered clouds
293,Strezhevoy,RU,60.7333,77.5889,39.18,98,100,7.27,light rain
294,Pevek,RU,69.7008,170.3133,28.78,95,100,7.87,light snow
295,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,82,90,12.66,overcast clouds
296,Andenes,NO,69.3143,16.1194,48.18,76,75,2.3,light intensity drizzle
297,Kadoma,JP,34.7333,135.5833,73.38,67,85,4.52,overcast clouds
298,Chapais,CA,49.7834,-74.8492,47.98,93,100,10.63,overcast clouds
299,Shizunai,JP,42.3339,142.3669,63.25,92,92,7.58,moderate rain
300,Guna,IN,24.65,77.3167,76.77,85,36,6.89,scattered clouds
301,Chabahar,IR,25.2919,60.643,82.13,83,28,7.47,scattered clouds
302,Faanui,PF,-16.4833,-151.75,77.79,70,15,9.95,few clouds
303,Iguguno,TZ,-4.5697,34.6275,74.08,41,97,13.49,overcast clouds
304,Marsh Harbour,BS,26.5412,-77.0636,84.27,68,52,6.2,light rain
305,Kautokeino,NO,69.0125,23.0412,39.24,97,100,17.94,overcast clouds
306,Mahajanga,MG,-15.7167,46.3167,77.02,73,0,3.44,clear sky
307,Saint-Pierre,RE,-21.3393,55.4781,69.44,72,0,3.44,clear sky
308,Lerwick,GB,60.1545,-1.1494,50.0,76,87,10.2,overcast clouds
309,Tieli,CN,46.95,128.05,44.37,73,6,2.71,clear sky
310,Chino Valley,US,34.7575,-112.4538,84.15,19,1,1.99,clear sky
311,Dawson Creek,CA,55.7666,-120.2362,49.64,40,20,12.66,few clouds
312,Baghdad,IQ,33.3406,44.4009,85.91,30,0,2.3,clear sky
313,Ust-Nera,RU,64.5667,143.2,36.43,68,35,4.0,scattered clouds
314,Yerbogachen,RU,61.2767,108.0108,37.26,96,100,0.78,overcast clouds
315,San Cristobal,VE,7.7669,-72.225,80.78,60,100,7.18,overcast clouds
316,Porto Novo,BJ,6.4965,2.6036,80.42,82,94,6.85,overcast clouds
317,Kamina,CD,-8.7386,24.9906,74.7,22,96,4.94,overcast clouds
318,San Policarpo,PH,12.1791,125.5072,81.59,82,10,7.96,clear sky
